Country,In_Degree,Out_Degree,Betweenness,PageRank,Total_Degree
United States,110,12,0.05678519593613933,0.07829194726803995,122
United Kingdom,38,2,0.06513062409288824,0.06097043529091838,40
South Korea,22,2,0.04843976777939042,0.030993704807943636,24
Ukraine,15,0,0.0,0.021686660934188216,15
Germany,12,0,0.0,0.01727313945552852,12
India,9,1,0.0005442670537010159,0.021204684882407728,10
Saudi Arabia,9,0,0.0,0.021325989306656887,9
Russia,8,80,0.1748911465892598,0.0681786168729072,88
Hong Kong,7,0,0.0,0.011970942451341888,7
Australia,6,0,0.0,0.021456036647714703,6
Taiwan,5,0,0.0,0.011642359324063909,5
Iran,5,46,0.026124818577648767,0.03273993140024931,51
France,5,1,0.000362844702467344,0.014012339221389647,6
Japan,5,0,0.0,0.011642359324063909,5
China,4,120,0.11719883889695211,0.023194401620217894,124
Israel,4,5,0.022859216255442672,0.021228735481716256,9
North Korea,4,29,0.06640058055152395,0.04825999180791466,33
Philippines,3,0,0.0,0.01131377619678593,3
Vietnam,3,2,0.02177068214804064,0.01131377619678593,5
Netherlands,2,1,0.0,0.012269669429644863,3
South Africa,2,0,0.0,0.013649074834802573,2
Azerbaijan,2,0,0.0,0.012269669429644863,2
Italy,2,0,0.0,0.012150239926981096,2
Bangladesh,2,0,0.0,0.030259703065908854,2
Switzerland,2,0,0.0,0.012269669429644863,2
Canada,2,0,0.0,0.011709577031395902,2
Czechia,2,0,0.0,0.012269669429644863,2
Estonia,1,0,0.0,0.011545285467756914,1
Sweden,1,0,0.0,0.011545285467756914,1
United Arab Emirates,1,3,0.014876632801161103,0.011545285467756914,4
Qatar,1,0,0.0,0.014092127280419227,1
Turkey,1,0,0.0,0.014092127280419227,1
Afghanistan,1,0,0.0,0.03673287850524298,1
Poland,1,0,0.0,0.011545285467756914,1
Norway,1,0,0.0,0.011545285467756914,1
Lithuania,1,0,0.0,0.011545285467756914,1
Kazakhstan,1,0,0.0,0.011545285467756914,1
Finland,1,0,0.0,0.011545285467756914,1
Belgium,1,0,0.0,0.016366924130199648,1
Denmark,1,0,0.0,0.011545285467756914,1
Bulgaria,1,0,0.0,0.011545285467756914,1
Belarus,1,0,0.0,0.011545285467756914,1
Austria,1,0,0.0,0.011545285467756914,1
Syria,1,0,0.0,0.014429896387775289,1
Bahrain,1,0,0.0,0.011425855965093146,1
Indonesia,1,1,0.005805515239477504,0.011545285467756914,2
Thailand,1,0,0.0,0.010985193069507952,1
Singapore,1,0,0.0,0.010985193069507952,1
New Zealand,1,0,0.0,0.010985193069507952,1
Malaysia,1,0,0.0,0.010985193069507952,1
Palestine,0,2,0.0,0.010820901505868962,2
Pakistan,0,4,0.0,0.010820901505868962,4
Spain,0,1,0.0,0.010820901505868962,1
Lebanon,0,1,0.0,0.010820901505868962,1
