country,in_degree,out_degree,total_degree,betweenness,pagerank
US,30722,30469,61191,0.15137792161420816,0.3493938763672499
CN,6873,7055,13928,0.08530396863224611,0.08124832055653451
JP,4034,4040,8074,0.04392681260613128,0.045807407910958456
DE,2665,2700,5365,0.07555926087604335,0.03356504168196905
GB,2687,2649,5336,0.03555810494479518,0.030080611309415865
KR,2376,2357,4733,0.03513030539708388,0.026761234648607843
BR,1736,1782,3518,0.037379726522744745,0.019981119289498445
FR,1665,1659,3324,0.034106288853997725,0.02013473884264286
CA,1503,1486,2989,0.026927615510172892,0.019305760273109807
IT,1165,1158,2323,0.019933042302884993,0.014370187011840424
NL,1059,1078,2137,0.02719537846228984,0.013620621289911865
AU,1051,1070,2121,0.013357818370641091,0.012281680630617856
IN,980,976,1956,0.025347272474223307,0.011611846392221419
RU,887,862,1749,0.022637073944968618,0.010582452487741804
TW,757,704,1461,0.01916740881117398,0.008817882441974753
ES,708,740,1448,0.02444946361419174,0.008630133337352854
SE,649,621,1270,0.017460449742562407,0.007734877386265864
MX,611,601,1212,0.02164127352294044,0.007523252742997667
ZA,564,550,1114,0.008158946381540522,0.006745422764110924
SG,550,537,1087,0.011790780985629745,0.006499377315211982
EG,489,508,997,0.012189884785360839,0.006460028280983504
CH,481,463,944,0.01571571691894497,0.005782136608108044
HK,422,425,847,0.009710846650219358,0.00527667270528365
ID,418,417,835,0.012025674144728866,0.005537361325112567
AR,354,401,755,0.009036267087836504,0.005143982578585411
PL,377,360,737,0.011267918309906312,0.005014589945321218
IE,351,373,724,0.014744569466683793,0.004415287609635016
TR,316,388,704,0.014652696808030989,0.004545728183416106
CO,336,358,694,0.006319850979479032,0.004496054606677647
VN,341,310,651,0.012542261465555923,0.004608218793442783
NO,346,277,623,0.005881842046941125,0.004514764381206652
FI,305,302,607,0.016409033431154758,0.004277104342827232
BE,285,269,554,0.013151331133867355,0.003858177372815957
MA,240,295,535,0.010692184461590388,0.0034034871079236546
DK,282,252,534,0.009310702754539137,0.004514345126182471
AT,230,260,490,0.008753663432174793,0.003189831374316065
SA,210,262,472,0.007833341388619405,0.0030152823491886903
IR,206,230,436,0.003674363390968442,0.0028385058043108626
CL,208,215,423,0.008300279564042723,0.0029482432000054086
TH,221,198,419,0.005404041989106109,0.0031175831238354603
UA,201,183,384,0.0055226748716929635,0.0028789466106080145
IL,186,194,380,0.007531808096503817,0.0029473277561396665
CZ,175,184,359,0.008216338263928247,0.002527797167060568
TN,176,177,353,0.010027491410792675,0.002766436664029204
MY,169,163,332,0.018037967027833682,0.003414338766157838
PT,155,153,308,0.005151292461317613,0.0025100036682879135
RO,163,145,308,0.007856166773149655,0.002500332382799703
VE,160,146,306,0.010075041182122314,0.002413511354450284
NZ,136,152,288,0.008389443746887432,0.002549811324468374
KE,148,123,271,0.006540352823552148,0.002315205042180438
PK,126,118,244,0.00550502061561951,0.0021192310853019097
HU,120,123,243,0.012651756818079863,0.002358943645962437
GR,116,123,239,0.005919345413865146,0.001955126318755595
PH,125,109,234,0.004225348537481489,0.0020088651504030354
AE,118,99,217,0.005970141831517475,0.0019912858967269676
DZ,93,100,193,0.0036439865918000028,0.0017036951507278363
PE,80,69,149,0.002706042842671276,0.0015645360805684855
KZ,80,65,145,0.0050186888911427216,0.0015694771268106237
NG,63,82,145,0.00648852191569138,0.001463129082266365
BG,68,76,144,0.004973755116265592,0.001418875528351759
LT,61,64,125,0.003998723101495683,0.001393506296029281
